theta1,theta2
0.0,0.0
0.005616665,6.2765036
0.022328377,6.2567453
0.050048113,6.2240324
0.08865023,6.1785526
0.13792467,6.120635
0.19767928,6.050655
0.2677436,5.969056
0.34788156,5.876489
0.43780684,5.773818
0.5371988,5.6621194
0.64571285,5.5426755
0.76300144,5.4169397
0.88874483,5.286476
1.0226696,5.152906
1.164557,5.017853
1.3142577,4.8828807
1.4716951,4.749446
1.6368488,4.6188707
1.8096266,4.4924035
1.9885652,4.3721037
2.1678405,4.2625356
2.3421578,4.166636
2.509753,4.0842733
2.6689951,4.01509
2.8191564,3.9581566
2.960068,3.9123404
3.091323,3.8768156
3.2127469,3.8507566
3.3247287,3.8331592
3.4279265,3.8230138
3.5227551,3.8195803
3.6090248,3.822304
3.686506,3.830532
3.7552667,3.8439188
3.8154168,3.8621504
3.8670046,3.8849978
3.9102535,3.9121714
3.9456334,3.9432778
3.9737005,3.9779105
3.9949133,4.015755
4.009773,4.056497
4.018598,4.0999618
4.0211806,4.146342
4.01668,4.196289
4.0040684,4.2506475
3.9830322,4.3098516
3.9535644,4.374194
3.9156852,4.4440184
3.8697183,4.5195026
3.817683,4.5994945
3.80732,4.6445737
3.841711,4.6516457
3.8781419,4.656414
3.9167144,4.6588693
3.9575236,4.659053
4.000578,4.657486
4.045936,4.6544094
4.0936975,4.6498485
4.1439614,4.6438375
4.196824,4.636422
4.252379,4.6276627
4.310714,4.6176357
4.37191,4.6064343
4.43604,4.5941725
4.5031652,4.5809846
4.573334,4.567028
4.6465793,4.5524836
4.722914,4.537558
4.802331,4.5224843
4.884797,4.507521
4.9702525,4.4929543
5.058606,4.479096
5.149734,4.466283
5.243476,4.454876
5.339635,4.445257
5.437975,4.4378266
5.53822,4.4329996
5.640056,4.431199
5.7431855,4.432557
5.8473125,4.4370375
5.9520335,4.4450645
6.056918,4.457058
6.161515,4.473421
6.265359,4.494536
0.08478999,4.520755
0.18570495,4.5523977
0.28445125,4.589745
0.38057542,4.633034
0.4736457,4.6824574
0.56325865,4.738158
0.64904547,4.80023
0.7306783,4.8687177
0.8078754,4.943618
0.8804047,5.02488
0.94808745,5.1124096
1.0108001,5.2060714
1.068476,5.305691
1.1211038,5.4110565
1.1687279,5.521923
1.2114447,5.638012
1.2494003,5.759012
1.2827843,5.8845825
1.3118262,6.0143538
1.336787,6.147934
1.357951,0.0017285347
1.3756183,0.14169216
1.3900932,0.2842281
1.4016753,0.42894292
1.4106495,0.57547474
1.4172773,0.72350454
1.4217898,0.87276626
1.4243821,1.0230517
1.4252126,1.1742101
1.4245464,1.3260041
1.4226092,1.4782575
1.4194294,1.6309986
1.4149876,1.7843004
1.4092202,1.9382693
1.4020201,2.0930357
1.3932381,2.2487476
1.3826847,2.405563
1.370133,2.5636466
1.3553245,2.7231655
1.3379768,2.8842916
1.3177935,3.0472026
1.294477,3.2120874
1.2677417,3.3791537
1.2373272,3.548635
1.2030091,3.7207985
1.1646068,3.8959484
1.1219876,4.0744267
1.0750682,4.2566056
1.0238132,4.4428754
0.9682348,4.6336203
0.9083936,4.8291855
0.84440446,5.0298295
0.77648425,5.232395
0.7049725,5.434825
0.63028646,5.637
0.5528927,5.838802
0.47329926,6.040123
0.39204645,6.24088
0.30969167,0.15783882
0.22679281,0.35736108
0.14388704,0.5551436
0.061463594,0.750124
6.263131,0.94143796
6.182872,1.128447
6.104158,1.3107351
6.0272217,1.4880825
5.952256,1.6604317
5.8797903,1.8275623
5.8094225,1.9900682
5.739532,2.1493728
5.668637,2.306611
5.595385,2.462695
5.5185585,2.618374
5.437231,2.774217
5.3518496,2.9301248
5.264152,3.0854826
5.17566,3.2399218
5.087306,3.3934174
4.999636,3.546123
4.9130125,3.698239
4.8276377,3.849986
4.7432623,4.001789
4.6594696,4.154152
4.5763874,4.3071995
4.4948206,4.4604797
4.415533,4.6133957
4.3379016,4.7663593
4.2615266,4.91961
4.1863813,5.0730715
4.1133623,5.2256813
4.043034,5.3766108
3.975392,5.525549
3.9105623,5.672076
3.8482356,5.816276
3.7883465,5.9580107
3.7306886,6.097342
3.6750789,6.234351
3.6210756,0.086282015
3.5745344,0.21237493
3.5413013,0.32248092
3.5212605,0.41696405
3.5134132,0.49725914
3.5133142,0.5687692
3.5160556,0.63731337
3.5199933,0.70484424
3.5246615,0.77193475
3.5298703,0.8388324
3.5356128,0.90557647
3.541909,0.9721706
3.548063,1.0393701
3.552652,1.1086578
3.5561247,1.1795678
3.559612,1.2509441
3.563053,1.3228431
3.5674388,1.3943245
3.5728981,1.4652612
3.5792875,1.5357993
3.5864718,1.6060383
3.5945613,1.675888
3.6034431,1.7454073
3.6142423,1.8137012
3.625167,1.8820976
3.638576,1.9488627
3.65235,2.0154057
3.6673439,2.081222
3.6835072,2.1461477
3.7005117,2.210507
3.7184,2.2740777
3.7366343,2.3372781
3.75581,2.3995628
3.7751684,2.4614336
3.7952533,2.5224214
3.814864,2.5832288
3.8343897,2.6435168
3.852947,2.703757
3.872474,2.7628067
3.8914595,2.8214314
3.9097886,2.87963
3.9264753,2.9378653
3.94159,2.9960477
3.955264,3.054061
3.9685516,3.1113236
3.98427,3.1663656
4.0042744,3.2182112
4.028108,3.267062
4.054827,3.3133743
4.0831537,3.3577833
4.1102533,3.4017327
4.136801,3.4448524
4.1616416,3.48775
4.186461,3.5295107
4.210456,3.5705924
4.2331686,3.6112046
4.255231,3.6510446
4.277019,3.6898763
4.2983947,3.727827
4.3188,3.765182
4.3386745,3.8017433
4.35608,3.8386154
4.370961,3.875872
4.380514,3.915192
4.3845673,3.9567227
4.3829308,4.000644
4.375284,4.047247
4.3608584,4.097146
4.339034,4.1509185
4.309562,4.208964
4.2724023,4.2716036
4.227605,4.3391566
4.1753683,4.411891
4.116866,4.4893665
4.056031,4.568869
3.996543,4.647542
3.9385667,4.725176
