theta1,theta2
0.0,0.0
0.0053129196,6.2768707
0.02139759,6.2578707
0.048454285,6.225958
0.086391926,6.1812773
0.13508654,6.124051
0.1943698,6.0546217
0.26402426,5.973486
0.3437884,5.8813186
0.43336153,5.7789946
0.5324142,5.6675935
0.6405914,5.5484023
0.7575135,5.422902
0.88280106,5.2927103
1.0161078,5.159506
1.1570344,5.025059
1.3052973,4.8910027
1.4606967,4.7588196
1.6228406,4.6300354
1.7908937,4.5063133
1.9627562,4.3899145
2.1323,4.2853246
2.2916322,4.19698
2.4372478,4.1253815
2.570634,4.067743
2.6944,4.0210524
2.8091953,3.9839222
2.9164681,3.954659
3.0184956,3.931307
3.115646,3.913237
3.2077274,3.9002054
3.295788,3.8912725
3.381253,3.8853705
3.464464,3.8821397
3.544771,3.8818028
3.6214406,3.8841949
3.6954603,3.8883688
3.767313,3.8939464
3.8364425,3.9011664
3.9014144,3.9107933
3.960772,3.9235597
4.013797,3.9397616
4.059159,3.9600685
4.0964108,3.9846272
4.126318,4.012874
4.1506596,4.0436497
4.17198,4.075327
4.1912255,4.107316
4.2075872,4.1401615
4.2208056,4.174054
4.230863,4.2090344
4.1975107,4.2731867
4.1241856,4.365535
4.0541487,4.456071
3.9872231,4.5447392
3.923231,4.6314907
3.8619938,4.7162867
3.8033364,4.7991004
3.747086,4.8799176
3.6930742,4.9587383
3.6411364,5.035577
3.5911121,5.1104608
3.5428455,5.1834316
3.4961839,5.254544
3.4509783,5.323864
3.4070828,5.39147
3.3643546,5.45745
3.322653,5.521902
3.2818396,5.5849333
3.2417774,5.6466584
3.202331,5.707199
3.163366,5.766683
3.124749,5.825244
3.0863464,5.8830185
3.0480258,5.9401484
3.0096545,5.9967785
2.9710996,6.0530553
2.9322276,6.109127
2.8929048,6.165143
2.8529963,6.2212524
2.8123672,6.277603
2.7708812,0.051155567
2.7284007,0.10842347
2.6847878,0.1663599
2.639903,0.22509718
2.593607,0.28476048
2.5457587,0.3454647
2.4962175,0.4073143
2.444842,0.47039986
2.391492,0.5347955
2.3360271,0.6005571
2.2783096,0.66771936
2.218203,0.7362938
2.1555743,0.8062649
2.0902944,0.8775883
2.0222394,0.9501891
1.9512924,1.0239596
1.8773445,1.0987577
1.8002976,1.1744065
1.7200663,1.2506942
1.6365805,1.3273745
1.549789,1.404169
1.4596629,1.480769
1.3661994,1.5568398
1.2694256,1.6320244
1.1694037,1.7059492
1.0662336,1.77823
0.9600575,1.8484778
0.8510616,1.916306
0.7394786,1.981336
0.62558746,2.0432034
0.50971174,2.101562
0.39221692,2.1560893
0.27350497,2.2064874
0.15400839,2.2524858
0.03418231,2.2938411
6.1976814,2.330338
6.0786104,2.361787
5.9606256,2.388024
5.844187,2.4089088
5.729734,2.4243238
5.617682,2.4341738
5.508415,2.438386
5.402247,2.4371555
5.299414,2.430942
5.2001843,2.419743
5.104789,2.4035733
5.0134225,2.3824687
4.926247,2.3564866
4.843392,2.3257039
4.7649574,2.2902157
4.6910176,2.250134
4.621623,2.2055843
4.5568027,2.1567042
4.4965677,2.10364
4.4409127,2.0465443
4.389818,1.9855721
4.343251,1.9208784
4.30117,1.8526152
4.263521,1.7809284
4.2302456,1.7059547
4.2012773,1.6278198
4.176545,1.546636
4.1559753,1.4625006
4.1394916,1.3754947
4.1270165,1.2856823
4.118474,1.1931101
4.1137886,1.0978091
4.1128836,0.99979734
4.115477,0.8993001
4.1213937,0.7964299
4.130569,0.69118094
4.1372986,0.5899663
4.136053,0.49916983
4.1273336,0.41832995
4.112423,0.34599662
4.0935874,0.27950215
4.0725183,0.21682572
4.0501657,0.15681267
4.027341,0.098465204
4.004528,0.041172504
3.9819617,6.267807
3.958554,6.213279
3.9337249,6.161438
3.9085312,6.1109676
3.8838959,6.060712
3.8604102,6.009915
3.8383374,5.9582148
3.8178897,5.9053097
3.7992318,5.850954
3.7824354,5.795014
3.7672944,5.7376804
3.7534285,5.679346
3.7404902,5.6203594
3.728192,5.560995
3.7164326,5.501314
3.7052412,5.4412303
3.6946373,5.38067
3.6845565,5.3196526
3.6748774,5.258257
3.6654816,5.1965585
3.6562362,5.134645
3.6469958,5.0726147
3.6376057,5.010573
3.6278932,4.948639
3.6176634,4.8869505
3.6067195,4.8256426
3.5948837,4.764831
3.5820005,4.7046084
3.5679414,4.6450443
3.5526078,4.586184
3.5361373,4.5278826
3.5188394,4.469866
3.5009756,4.41191
3.482804,4.3538065
3.4645443,4.2953863
3.4464288,4.236483
3.4287438,4.1769023
3.4117763,4.1164618
3.3956404,4.055106
3.380304,3.9928837
3.3657663,3.929828
3.3520312,3.8659735
3.3390937,3.8013654
3.32694,3.7360578
3.315553,3.67011
3.3049147,3.6035852
3.2950034,3.5365512
3.2857618,3.469097
3.2769232,3.401422
3.2681634,3.333756
3.2593865,3.2662082
3.2506058,3.1988332
3.2418346,3.131687
3.2330859,3.0648253
3.2243714,2.9983056
3.215702,2.9321852
3.2070868,2.8665214
3.1985323,2.8013716
3.190043,2.736793
3.1816201,2.6728427
3.173262,2.6095767
3.1649635,2.547051
3.1567168,2.4853203
3.1485102,2.424439
3.1403286,2.3644605
3.1321537,2.3054376
3.123964,2.2474217
3.1157348,2.1904643
3.1074383,2.134615
3.099044,2.0799234
3.0905187,2.0264382
3.0818267,1.9742074
3.0729296,1.9232783
3.063787,1.8736978
3.054356,1.8255119
3.0445921,1.7787666
3.0344484,1.7335074
3.0238762,1.6897794
3.0128248,1.6476276
3.0012417,1.6070967
2.9890726,1.5682313
2.976261,1.5310763
2.963059,1.4954053
2.9499016,1.4608275
2.9370284,1.4271173
2.924562,1.394151
2.9125514,1.3618679
2.9009895,1.3302584
2.8898406,1.2993381
2.879075,1.2691164
2.8686688,1.2395971
2.8586092,1.2107725
2.8489,1.1826181
2.8395472,1.1551073
2.8305473,1.128222
2.8218925,1.1019483
2.8135734,1.0762737
2.8055868,1.0511794
2.7979362,1.0266402
2.79062,1.002635
2.7836313,0.9791491
2.77696,0.9561708
2.770594,0.93369126
2.764513,0.91171026
2.7586946,0.8902304
2.7531233,0.8692472
2.7477868,0.848753
2.7426744,0.8287389
2.7377758,0.809196
2.7330818,0.7901144
2.728588,0.77147937
2.7243047,0.75326085
2.7202446,0.73542476
2.7164125,0.71794796
2.712807,0.700814
2.7094254,0.6840074
2.7062654,0.66751385
2.7033222,0.6513219
2.7005892,0.63542175
2.6980581,0.619807
2.6957214,0.6044705
2.6935728,0.5894034
2.691606,0.57459784
2.689814,0.5600474
2.68819,0.5457454
2.6867266,0.5316858
2.6854172,0.5178628
2.6842554,0.5042708
2.6832342,0.4909041
2.6823475,0.47775745
2.6815891,0.46482587
2.6809523,0.4521048
2.680431,0.43958974
2.680018,0.4272771
2.6797068,0.41516352
2.6794899,0.40324712
2.6793544,0.39153218
2.6792822,0.38002992
2.6792543,0.36875248
2.6792593,0.35770345
2.6792939,0.34687734
2.6793592,0.33626318
2.6794586,0.32584763
2.679597,0.31561613
2.6797795,0.30555344
2.6800115,0.295645
2.6802971,0.28587723
2.6806393,0.27623844
2.68104,0.2667184
