Wall time,Step,Value
1756393793.279034,37500,-4044.324462890625
1756393984.8620977,75000,-5404.2392578125
1756394097.9404495,112500,-878.6094360351562
1756394294.7126596,150000,-2499.903564453125
1756394473.4722989,187500,-3036.772705078125
1756394661.342368,225000,-508.0635070800781
1756394852.552276,262500,-1741.634765625
1756395027.5912535,300000,-802.6854248046875
1756395202.3619087,337500,1673.1292724609375
1756395387.2040162,375000,3746.229736328125
1756395560.0252898,412500,5015.56689453125
1756395744.6052628,450000,8038.06689453125
1756395946.0912874,487500,9666.6064453125
1756396138.5148897,525000,8866.8681640625
1756396339.7624974,562500,9254.357421875
1756396529.7987587,600000,9408.3125
1756396717.7829068,637500,9730.15234375
1756396909.5522418,675000,11078.822265625
1756397092.145586,712500,12178.61328125
1756397292.7008383,750000,13909.7978515625
1756397480.618147,787500,11940.5224609375
1756397681.9237704,825000,11923.6357421875
1756397871.0806735,862500,8305.0830078125
1756398070.3370326,900000,4282.60693359375
1756398262.2173812,937500,7674.04345703125
1756398463.2319403,975000,3768.22216796875
1756398651.129449,1012500,7948.38671875
1756398734.9879947,1050000,9044.3466796875
1756398802.1908574,1087500,6081.04736328125
1756398933.6160433,1125000,10750.044921875
1756399141.2361178,1162500,10994.1826171875
1756399340.7300746,1200000,13732.552734375
1756399546.412235,1237500,16848.662109375
1756399744.6194313,1275000,17014.25
1756399938.045215,1312500,17066.091796875
1756400140.7889457,1350000,17933.650390625
1756400330.85542,1387500,18280.822265625
1756400538.9197805,1425000,18709.640625
1756400735.9028218,1462500,18873.33203125
1756400943.3646255,1500000,18483.619140625
1756401134.553473,1537500,18302.197265625
1756401335.7461815,1575000,17466.451171875
1756401534.1575706,1612500,16165.3681640625
1756401731.000582,1650000,16278.2421875
1756401879.218154,1687500,16121.7119140625
1756401982.721373,1725000,16833.375
1756402175.3950837,1762500,18262.5234375
1756402374.472364,1800000,18647.705078125
1756402559.502579,1837500,18967.56640625
1756402758.5475209,1875000,18966.34765625
1756402973.6569626,1912500,18799.068359375
1756403161.3617768,1950000,18685.525390625
1756403364.4177897,1987500,18824.2734375
1756403559.4628382,2025000,18042.876953125
1756403776.6510277,2062500,17932.181640625
1756403980.2113135,2100000,12779.46875
1756404199.135187,2137500,11342.2255859375
1756404409.8118145,2175000,11546.556640625
1756404623.5114503,2212500,11919.7529296875
1756404848.2671483,2250000,17273.189453125
1756405051.5903513,2287500,17549.595703125
1756405189.2013168,2325000,18306.958984375
1756405363.5794492,2362500,17501.6796875
1756405445.503432,2400000,13688.7333984375
1756405596.902536,2437500,9821.8720703125
1756405724.5309255,2475000,9659.73046875
