theta1,theta2
0.0,0.0
0.00561738,6.2765026
0.02215004,6.256961
0.049317837,6.2249155
0.087031364,6.1805077
0.13520932,6.1239076
0.19373322,6.0553923
0.26238704,5.9754486
0.3408575,5.884797
0.4287727,5.784371
0.52572083,5.6753035
0.6313169,5.5588546
0.7451215,5.436491
0.86658716,5.309906
0.9951153,5.1809006
1.1299512,5.0514116
1.2707485,4.9228907
1.4180095,4.795949
1.5721133,4.671337
1.7328742,4.5502343
1.8990346,4.4344616
2.0682483,4.326215
2.2372608,4.2277303
2.4036527,4.140049
2.5627775,4.0652575
2.7096398,4.0050745
2.843619,3.9583092
2.9653795,3.9232342
3.076908,3.89763
3.1810308,3.879096
3.2785244,3.8666866
3.369721,3.859793
3.4553792,3.8576431
3.5353227,3.8596725
3.6103628,3.864887
3.6815603,3.8724866
3.7491016,3.882229
3.8131254,3.893917
3.8739452,3.907268
3.9317384,3.9220986
3.9857986,3.9387684
4.035244,3.957731
4.0794444,3.9792933
4.1177053,4.0038066
4.149675,4.031428
4.17513,4.062255
4.193902,4.0963798
4.205723,4.1339912
4.210325,4.175313
4.2075186,4.2205606
4.1976194,4.269646
4.2290926,4.288324
4.3066177,4.274937
4.3869743,4.2612314
4.470256,4.247326
4.5565357,4.233367
4.6458616,4.21953
4.738253,4.2060204
4.8336973,4.193073
4.932146,4.1809535
5.033511,4.1699595
5.137662,4.160418
5.244423,4.152684
5.353571,4.1471415
5.4648347,4.1441946
5.577912,4.14417
5.69252,4.147016
5.8082848,4.1530337
5.9247694,4.162684
6.0415015,4.176429
6.15798,4.194722
6.2736826,4.218004
0.10488868,4.246692
0.21742678,4.2811747
0.3275733,4.321803
0.4348011,4.368887
0.5386038,4.4226866
0.6385026,4.4834094
0.73405504,4.5512075
0.82486296,4.6261754
0.91057897,4.70835
0.9909122,4.7977138
1.065635,4.894194
1.1345856,4.997669
1.1976722,5.10797
1.254874,5.2248826
1.3062416,5.348149
1.3518955,5.4774675
1.392023,5.612494
1.4268748,5.752836
1.456758,5.898057
1.4820285,6.047675
1.5030806,6.201173
1.5203344,0.074822664
1.5342213,0.234447
1.5451685,0.39632845
1.5535833,0.5599747
1.5598389,0.72495484
1.5642625,0.8909166
1.5671271,1.0575957
1.5686462,1.2248187
1.568978,1.392491
1.568396,1.560435
1.5670264,1.7286279
1.5648258,1.8971996
1.5616807,2.0663242
1.5574106,2.2362037
1.5517697,2.4070563
1.5444504,2.5791085
1.5350894,2.7525876
1.5232793,2.927721
1.5085841,3.1047385
1.4905592,3.2838786
1.4687735,3.4653993
1.442831,3.6495886
1.4123893,3.8367758
1.3771712,4.0273376
1.3369714,4.2216964
1.291657,4.4203115
1.2411783,4.6227446
1.1856232,4.8253345
1.1252038,5.028021
1.0601964,5.2307224
0.99093175,5.4333386
0.9177911,5.6357565
0.8412006,5.8378587
0.76162577,6.0395336
0.67956305,6.2406883
0.59552693,0.1580751
0.5100353,0.35803843
0.42359233,0.55713296
0.33666658,0.75424695
0.2496705,0.94843197
0.16295195,1.1389446
0.07679796,1.3252553
6.274632,1.5070349
6.1902866,1.6841272
6.107132,1.8565181
6.025345,2.0243049
5.9451056,2.1876674
5.8666,2.3468447
5.790021,2.5021129
5.7155647,2.6537664
5.643426,2.8021011
5.5737906,2.9473999
5.506828,3.0899193
5.442686,3.2298825
5.381487,3.3674715
5.323324,3.5028248
5.268264,3.6360385
5.2163467,3.7671676
5.167592,3.8962302
5.116303,4.026755
5.0569434,4.1626115
4.989913,4.304268
4.91585,4.4520698
4.8356485,4.606147
4.7499695,4.766726
4.658797,4.934531
4.561691,5.1106477
4.459242,5.2950726
4.3544536,5.484931
4.250932,5.6760235
4.1508603,5.865223
4.0556946,6.0500555
3.96649,6.2285547
3.8836808,0.116470575
3.8101935,0.27632356
3.7468233,0.423918
3.6903548,0.5631912
3.642168,0.69276714
3.605623,0.8092041
3.580806,0.91290975
3.565471,1.006762
3.556881,1.0939703
3.5530574,1.1767751
3.551022,1.2582624
3.549955,1.3393018
3.5501199,1.4196421
3.550774,1.4999923
3.551803,1.5804398
3.552633,1.661462
3.5530045,1.7432373
3.552931,1.8257066
3.5526419,1.9086393
3.5522285,1.9919139
3.551707,2.0754647
3.5508547,2.1593852
3.5492527,2.2438865
3.5467396,2.3289928
3.5429096,2.4148653
3.5369792,2.5018744
3.5284312,2.5902066
3.517091,2.6798396
3.503049,2.770608
3.4862518,2.8624327
3.466462,2.9553428
3.443613,3.0492895
3.4178135,3.1441536
3.3892596,3.2397933
3.3582027,3.3360593
3.3254921,3.4325123
3.2923377,3.5285244
3.259647,3.6236033
3.2280385,3.7173839
3.1977234,3.8097024
3.1685138,3.9006138
3.1399846,3.9903226
3.1118731,4.0789514
3.084181,4.166465
3.056937,4.2528086
3.0301657,4.3379297
3.0043092,4.421463
2.9802232,4.5026965
2.9586632,4.58094
2.93925,4.6563916
2.920984,4.729797
2.9029942,4.801862
2.8840868,4.873637
2.8633752,4.945967
2.84137,5.018427
2.81923,5.089939
2.797509,5.1599574
2.7763834,5.2282867
2.7561114,5.294638
2.7374709,5.358164
2.7211275,5.4181085
2.7069836,5.4745293
2.6946058,5.5278654
2.6834958,5.578652
2.6731234,5.6274767
2.6632416,5.6746225
2.653816,5.7201357
2.6447976,5.764082
2.6360817,5.8065934
2.6275675,5.8478007
2.6192079,5.8877735
2.610975,5.9265585
2.602853,5.9641905
2.5948374,6.00069
2.5869267,6.036074
2.5791154,6.070365
2.5714004,6.103582
2.5637803,6.1357417
2.5562515,6.166864
2.5488083,6.196971
2.5415788,6.2259226
2.5348258,6.253415
2.5287461,6.2792244
2.5234275,0.020073652
2.5228348,0.03755045
2.529825,0.04502988
2.5422935,0.045137405
2.5577574,0.041339397
2.5739903,0.03650403
2.5898116,0.032069683
2.60493,0.02839613
2.6192877,0.025560856
2.632883,0.023572683
2.645727,0.022421598
2.6578386,0.022070646
2.669308,0.022188187
2.6802433,0.022380829
2.6906729,0.022577047
2.7006114,0.022767782
2.7100847,0.022936344
2.71912,0.023073673
2.727758,0.023166895
2.7360303,0.023231745
2.7440279,0.023217916
2.751812,0.023190975
2.7593818,0.023173332
2.7667441,0.023150206
2.7739043,0.023129225
2.7808685,0.023103714
2.787642,0.023077488
2.7942297,0.023049116
2.8006365,0.023020267
2.8068671,0.022990465
2.8129265,0.022960186
2.8188195,0.02292943
2.8245506,0.022898197
2.8301241,0.022866726
2.835564,0.02281785
2.8408754,0.022777319
2.846063,0.022731066
2.8511286,0.022689342
2.8560758,0.022644758
2.8609068,0.022602797
2.8656404,0.022545815
2.8702903,0.022487879
2.8748584,0.022431374
2.8793464,0.02237463
2.8837593,0.022316456
2.8880987,0.022260427
2.8923655,0.022204876
2.896561,0.022150755
2.9006863,0.022097588
2.9047425,0.022045612
2.908731,0.02199459
2.9126527,0.021944761
2.9165092,0.021895885
2.920301,0.021847963
2.9240294,0.021800995
2.9276955,0.02175498
2.9313004,0.021709919
2.9348433,0.02166748
2.9383135,0.021635056
2.9416995,0.021609068
2.9449947,0.02158761
2.948196,0.021569729
2.9513025,0.021553993
2.9543147,0.021539688
2.9572356,0.02152443
2.9600697,0.021507263
2.9628215,0.021488905
2.9654949,0.021469355
2.9680927,0.021449089
2.9706175,0.021428108
2.9730716,0.021406889
2.9754572,0.021385193
2.9777765,0.021363497
2.9800313,0.021341562
2.9822235,0.02131915
2.984355,0.02129674
2.9864273,0.02127409
2.9884422,0.021251202
2.9904015,0.021228075
2.9923067,0.021204948
2.9941509,0.021189213
2.995921,0.021182775
2.997608,0.02118206
2.9992096,0.02118373
3.0007262,0.021185875
3.002159,0.021187305
3.003511,0.021187544
3.0047853,0.021186352
3.0059857,0.021183252
3.007116,0.021178484
3.00818,0.02117157
3.0091813,0.021162748
3.0101237,0.02115202
3.011011,0.021139145
3.011846,0.021124601
